,name,address,icon,userComment,tags
266,La Bibimerie - Restaurant Franco-Coréen,"1 rue lucien sampaix, Paris 75010",restaurant,,💸💸#Asiat#À faire#TheFork 🍴
267,Cô My Cantine,"18 Rue de Menilmontant, 75020 Paris, France",restaurant,,💸💸#Asiat#À faire#TheFork 🍴
268,LA BRASSERIE,"50 Boulevard Ornano, 93200 Saint-Denis, France",restaurant,,💸💸#Halal#Pâtes 🍝#Burger 🍔🍟#Restaurant#À faire
269,Privé de dessert,"4 Rue Lallier, 75009 Paris, France",restaurant,,💸💸#Restaurant#À faire#Zenchef#2️⃣
270,All Five,"242 Rue de Crimée, 75019 Paris-19E-Arrondissement, France",restaurant,,💸#Pizza 🍕#À faire
271,Il Posto,"356 rue des pyrénées, Paris 75020",restaurant,,💸💸#Pizza 🍕#À faire
272,Le Bobo,"65 Avenue Michelet, 93400 Saint-Ouen, France",restaurant,,💸#Burger 🍔🍟#🍴 inconnu#À faire
273,Pontochoux,"18 Rue du Pont aux Choux, 75003 Paris, France",restaurant,,💸💸#Asiat#À faire
274,4 Saisons,"90 Rue de Provence, 75009 Paris, France",restaurant,,Asiat#🍴 inconnu#À faire
275,Aki Boulanger,"16 Rue Sainte-Anne, 75001 Paris, France",restaurant,,💸💸#Boulangerie 🥖#Pâtisseries#Validé ✅
276,L'as Tacos,"4 Rue Louis Blanc, 44200 Nantes, France",restaurant,,Tacos 🇫🇷#🍴 inconnu#À faire
277,La capitale,"22 Avenue Pasteur, 93290 Tremblay-en-France, France",restaurant,,Grec 🥙#🍴 inconnu#À faire
278,A La Flûte Enchantée,"7 Avenue Mozart, 75016 Paris, France",restaurant,,💸💸#Boulangerie 🥖#À faire
279,Sanukiya,"9 Rue d'Argenteuil, 75001 Paris, France",restaurant,,Asiat#🍴 inconnu#À faire
280,NINA'S,"29 Rue Danielle Casanova, 75001 Paris, France",cafe,,💸💸#Salon de thé 🍵#À faire#2️⃣
281,Piconi,"3-1 Rue Julien Mira, 93600 Aulnay-sous-Bois, France",restaurant,,💸#Snack#À faire
282,Arrivederci pizzeria,"47 Rue Gay-Lussac, 75005 Paris, France",restaurant,,💸💸#À faire#Pizza 🍕#TheFork 🍴
283,Jimmy 2 fois,15 Rue Letort Paris 75018,restaurant,,Pizza 🍕#💸💸#Validé ✅#TheFork 🍴
284,Cinq Fois Plus,"170 Rue Saint-Martin, 75003 Paris, France",restaurant,Chinois,💸#À faire#Asiat
285,Rachel,"Rue du Marché au Charbon 100, 1000 Bruxelles, Belgique",restaurant,,🍴 inconnu#Burger 🍔🍟#À faire
286,LA BAMBA (Le Jardin Suspendu),"102 Route de la Pyramide, 75012 Paris, France",bar,,Parcs#À faire
287,La Place Verte,105 Rue Oberkampf Paris France,restaurant,,Café#💸💸#À faire
288,Chez Justine,"96 Rue Oberkampf, 75011 Paris, France",restaurant,,💸💸#Trinity Group#À faire#Pizza 🍕
289,LES TRIPLETTES,"102 Boulevard de Belleville, 75020 Paris, France",restaurant,,💸💸#Trinity Group#À faire#Burger 🍔🍟
290,Tripletta Belleville,"88 Bd de Belleville, 75020 Paris, France",restaurant,,💸💸#Trinity Group#Pizza 🍕#À faire
291,John Viande,"7b Rue de Paradis, 75010 Paris, France",restaurant,,Burger 🍔🍟#Validé ✅#💸💸
292,Pizzeria Tripletta Saint Michel,"30 Place Meynard, 33800 Bordeaux, France",restaurant,,Trinity Group#À faire
