name,address,city,postalCode,country,icon,userComment,tag1,tag2,tag3,tag4,tag5,tag6,tag7,coordinates
Les Saveurs De Gagny,38 Bis Avenue Jean Jaurès,Gagny,93220, France,restaurant,,💸,Snack,Grec 🥙,Halal,À faire,,,"[2.5260206, 48.88287750000001]"
2.4.6.,13 Rue Georges Brassens 91080 Évry-Courcouronnes France,,,,fastfood,,💸,Snack,Tacos 🇫🇷,Grec 🥙,Burger 🍔🍟,À faire,,"[2.4217179, 48.6263393]"
Le Plateau,69TER Rue Pierre Brossolette 91130 Ris-Orangis France,,,,restaurant,,Snack,Grec 🥙,Halal,🍴 inconnu,À faire,,,"[2.408605, 48.64882780000001]"
Mad in Food,20 Grand'Rue 91600 Savigny-sur-Orge France,,,,fastfood,,💸,Halal,Snack,Grec 🥙,Tacos 🇫🇷,À faire,,"[2.3555927, 48.6769008]"
So Square,151 Avenue du Général de Gaulle 91170 Viry-Châtillon France,,,,fastfood,,💸,Halal,Snack,Grec 🥙,Tacos 🇫🇷,À faire,,"[2.3759114, 48.6836902]"
Snack Aksaray Istambul,8 Rue Gambetta 91290 Arpajon France,,,,supermarket,,Snack,Grec 🥙,Halal,🍴 inconnu,À faire,,,"[2.250827, 48.587942]"
O' Crousti D'Asie,154 Boulevard Robert Ballanger,Villepinte,93420, France,restaurant,,Snack,Asiat,🍴 inconnu,À faire,,,,"[2.5379735, 48.9550734]"
Pizza News,9 Place Gaston Bussière 93270 Sevran France,,,,fastfood,,💸,Halal,Snack,Pizza 🍕,À faire,,,"[2.529427, 48.937276]"
Big Dal,74 Route de Mitry,Aulnay-sous-Bois,93600, France,restaurant,,💸,Halal,Grec 🥙,À faire,,,,"[2.5029785, 48.94057100000001]"
2004 Chicken Family,4 Avenue Louis Aragon 93000 Bobigny France,,,,fastfood,,Snack,Burger 🍔🍟,Tacos 🇫🇷,Halal,Grec 🥙,💸,À faire,"[2.4374878, 48.9130747]"
Tacos 93,131BIS Avenue Jean Jaurès 93120 La Courneuve France,,,,fastfood,,Snack,Tacos 🇫🇷,Halal,À faire,,,,"[2.4101193, 48.9211576]"
Le Mistral,89 Boulevard Édouard Vaillant 93300 Aubervilliers France,,,,fastfood,,💸,Snack,Halal,À faire,,,,"[2.4000108, 48.9183732]"
QUARTER | Restaurant & Coffee,187 Avenue Jean Jaurès,Paris,75019, France,restaurant,,💸,Halal,Snack,À faire,,,,"[2.3892461, 48.8881515]"
Alto'Tacos,191 Rue de Crimée 75019 Paris France,,,,restaurant,,💸,Snack,Halal,Pizza 🍕,Pâtes 🍝,À faire,,"[2.3761569, 48.89100010000001]"
Chez Publicite Daniel,18 Boulevard Ney 75018 Paris France,,,,business,,💸,Snack,Halal,Grec 🥙,À faire,,,"[2.3696346, 48.89884060000001]"
O'DELICE l'original,171 Avenue de Clichy,Paris,75017, France,restaurant,,Snack,Burger 🍔🍟,Halal,🍴 inconnu,À faire,,,"[2.316426, 48.89249]"
Good Thai,50 Avenue Pierre Semard,Ivry-sur-Seine,94200, France,restaurant,Thai,💸💸,Halal,Asiat,Snack,À faire,,,"[2.3805259, 48.8188791]"
Alfaroj Lmashwi,9 Avenue du 8 Mai 1945,Vitry-sur-Seine,94400, France,restaurant,,💸,Snack,Libanais 🇱🇧,Halal,Validé ✅,TheFork 🍴,,"[2.397632499999999, 48.78424019999999]"
L'Escale du Palais,33 Allée Parmentier 94000 Créteil France,,,,restaurant,,💸,Halal,Snack,Grec 🥙,Tacos 🇫🇷,À faire,,"[2.4447006, 48.78620780000001]"
Kydam,1 Avenue Auguste Marin 94100 Saint-Maur-des-Fossés France,,,,fastfood,,💸,Halal,Snack,Burger 🍔🍟,Grec 🥙,À faire,,"[2.4714645, 48.8083176]"
Fast-food My Sandwich,8 Avenue Maréchal Randon,Grenoble,38000, France,restaurant,,Snack,Grec 🥙,Tacos 🇫🇷,Halal,💸,À faire,,"[5.739033699999998, 45.19915049999999]"
Frenchy Tacos,1387 Route de Beaurepaire,Saint-Barthelemy,38270, France,restaurant,,Snack,Tacos 🇫🇷,Halal,🍴 inconnu,À faire,,,"[5.066032299999999, 45.3418194]"
L'oasis Chicken Chika,116 Rue Crozet Boussingault,Saint-Étienne,42100, France,restaurant,,💸,Halal,Snack,Grec 🥙,À faire,,,"[4.4100211, 45.4162884]"
Easy Food Pierre Bénite,87 Rue des Martyrs de la Libération,Pierre-Bénite,69310, France,restaurant,,💸,Snack,Halal,Grec 🥙,Tacos 🇫🇷,Pizza 🍕,À faire,"[4.823237, 45.702946]"
Mis Kebab,68 Avenue Viviani,Vénissieux,69200, France,restaurant,,💸,Snack,Grec 🥙,Halal,,,,"[4.8724319, 45.7236235]"
Foolek Pizz',86 Cours Emile Zola,Villeurbanne,69100, France,restaurant,,Snack,Halal,🍴 inconnu,À faire,,,,"[4.871422, 45.7708142]"
Ain El Fouara,47 rue colin 69100 villeurbanne,Villeurbanne,69100, France,restaurant,,💸,Burger 🍔🍟,Grec 🥙,Halal,Snack,Pizza 🍕,Validé ✅,"[4.874138699999999, 45.77261119999999]"
Derk-food,13 Rue du Faubourg Saint-Pierre,Pontarlier,25300, France,restaurant,,Snack,Halal,🍴 inconnu,À faire,,,,"[6.351465799999999, 46.9048295]"
Le Big Mama,32 Rue du Faubourg-de-Pierre,Strasbourg,67000, France,restaurant,,💸,Snack,Halal,À faire,,,,"[7.745753000000001, 48.588705]"
Mail Burger,10 Mail François Mitterrand,Rennes,35000, France,restaurant,,💸,Halal,Snack,Grec 🥙,Tacos 🇫🇷,À faire,,"[-1.6872032, 48.1102932]"
Escale K,2 Rue Robert Schuman,Bègles,33130, France,restaurant,,Snack,Burger 🍔🍟,Pâtes 🍝,Halal,🍴 inconnu,À faire,,"[-0.5506120000000001, 44.812037]"
Burger Store,26 Rue Camille Pelletan,33150,Cenon,,restaurant,,💸,Halal,Burger 🍔🍟,À faire,,,,"[-0.5197669000000001, 44.86162270000001]"
Yummy Sandwicherie,28 Rue Montmailler 87000 Limoges France,,,,fastfood,,Snack,Grec 🥙,Halal,💸,À faire,,,"[1.2545228, 45.8335666]"
Ô Regal,137 Boulevard du Grand Cerf,Poitiers,86000, France,restaurant,,Snack,Grec 🥙,Halal,💸,À faire,,,"[0.3341384, 46.58224389999999]"
